Edson,Arantes Nascimento,95,55,94,94,94,87,81,93,91,86,15,12,15,13,6,83,61,86,85,87,48,88,96,96,89,84,42,95,46,88,71,96,90
C. Ronaldo,dos Santos Aveiro,91,63,90,63,92,84,81,93,93,77,7,11,15,14,11,87,29,95,72,92,22,85,94,96,82,94,23,92,31,92,80,85,88
Lionel,Messi,92,48,90,95,95,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,83,26,87,28,74,59,90,85
Franz,Beckenbauer,83,63,80,66,89,64,76,73,62,74,14,14,8,14,8,90,96,86,94,79,94,76,67,92,92,75,91,81,96,85,86,82,64
Paolo,Maldini,87,66,65,69,72,83,31,61,62,26,10,6,9,12,10,91,94,82,79,30,95,54,35,91,83,70,94,85,96,84,84,68,65
Franco,Baresi,77,79,75,84,89,58,56,54,31,48,6,8,12,14,5,84,95,85,83,42,94,65,39,89,86,47,92,75,96,91,79,68,41
Manuel,Neuer,58,29,52,35,48,15,14,30,13,11,89,90,95,91,89,25,30,78,59,16,10,47,12,85,55,25,11,61,10,44,83,70,11
Luis,Su·rez,88,78,86,60,91,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,45,89,76,84,88
Neymar,da Silva Santos Jr.,93,56,96,82,95,75,78,96,89,79,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,78,33,90,24,70,49,80,83
Lothar,Matth‰us,88,93,74,79,87,81,72,71,81,90,15,6,10,9,7,77,91,72,90,93,87,91,86,87,86,91,90,84,91,89,75,91,77
Marco,van Basten,81,51,84,71,85,74,65,78,97,71,7,9,9,12,10,90,45,88,62,85,25,87,94,93,78,97,21,84,22,62,80,73,97
Alessandro,Del Piero,86,62,86,69,94,87,88,94,93,89,12,9,7,7,12,61,43,58,76,87,36,92,89,88,82,80,34,85,42,85,64,91,87
Alessandro,Nesta,70,88,38,51,78,49,46,54,22,25,8,9,14,12,13,86,89,84,62,34,94,42,37,89,80,48,92,64,93,73,91,55,37
Dennis,Bergkamp,85,84,82,88,89,76,72,87,92,86,9,12,7,7,14,51,21,77,81,82,17,96,93,90,89,90,16,82,32,81,77,84,91
Hristo,Stoichkov,86,92,83,82,88,85,89,88,89,85,11,12,7,8,6,78,56,72,79,82,34,91,91,84,84,89,47,83,56,74,84,88,92
LuÌs Filipe,Madeira Caeiro Figo,82,73,83,79,91,88,76,92,78,83,8,8,12,10,13,64,37,66,85,85,27,83,87,83,88,81,38,83,41,85,72,86,79
Ruud,van Nistelrooy,86,68,74,80,77,56,74,74,94,72,11,15,5,7,9,91,27,75,58,73,16,90,93,92,74,89,33,82,34,77,79,75,94
Carles,Puyol Saforcada,66,91,54,65,67,57,52,49,35,50,13,8,14,10,9,88,93,82,71,41,91,55,43,91,76,70,89,70,90,83,95,57,37
Zlatan,Ibrahimovi?,69,84,86,41,90,76,80,87,90,80,13,15,10,9,12,76,20,72,76,88,15,91,86,85,84,93,27,74,41,75,93,83,93
